,item_id,timestamp,avg_high_price,avg_low_price,high_volume,low_volume
0,2,1771431000,272,268,65856,15057
1,36,1771431000,374,371,3,1
2,66,1771431000,257,250,766,119248
3,99,1771431000,6119,6188,704,5518
4,119,1771431000,45,17,2,2
5,139,1771431000,6204,6183,2000,953
6,145,1771431000,2300,2265,90,3
7,171,1771431000,1241,1202,3,38
8,199,1771431000,300,287,30,36
9,205,1771431000,481,468,1573,440
10,207,1771431000,5497,5497,105,1957
11,209,1771431000,2264,2235,111,609
12,213,1771431000,2855,2763,286,421
13,217,1771431000,2102,2101,121,490
14,219,1771431000,3717,3716,27,303
15,221,1771431000,4,4,15680,901
16,223,1771431000,192,191,5142,1353
17,225,1771431000,287,277,444,1133
18,227,1771431000,5,5,3,15785
19,231,1771431000,547,527,678,8815
20,233,1771431000,450,200,2,4
21,237,1771431000,241,224,1,107
22,245,1771431000,959,951,20,261
23,255,1771431000,516,508,130,2
24,261,1771431000,2418,2417,90,96
25,263,1771431000,2921,2909,1,206
26,265,1771431000,3236,3236,1000,43
27,269,1771431000,3820,3769,1000,20
28,299,1771431000,1099,1023,2501,41
29,301,1771431000,450,354,2,2
30,303,1771431000,179,169,3,7
31,313,1771431000,4,3,203,1359
32,314,1771431000,3,2,146730,190
33,317,1771431000,27,26,360,56
34,325,1771431000,21,20,8,14
35,329,1771431000,60,60,457,30
36,331,1771431000,48,46,1141,1703
37,333,1771431000,36,35,289,2004
38,335,1771431000,68,67,456,7
39,351,1771431000,185,179,197,261
40,353,1771431000,21,18,10,101
41,359,1771431000,73,73,1023,1176
42,361,1771431000,92,90,481,2852
43,363,1771431000,16,15,28,968
44,365,1771431000,103,102,46,914
45,371,1771431000,199,195,22,7029
46,373,1771431000,206,202,916,61
47,379,1771431000,151,148,1140,1334
48,383,1771431000,599,588,40,1694
49,385,1771431000,847,824,5559,592
50,391,1771431000,1700,1700,1462,300
51,397,1771431000,1165,1150,1004,4
52,440,1771431000,84,82,2440,4971
53,442,1771431000,57,55,1,1859
54,444,1771431000,127,127,806,7716
55,447,1771431000,126,125,167,16176
56,449,1771431000,599,587,5401,4459
57,451,1771431000,10208,10212,90,2695
58,453,1771431000,173,170,9150,50320
59,526,1771431000,32,30,4905,2
60,536,1771431000,2170,2148,5294,1258
61,544,1771431000,526,510,1,14
62,554,1771431000,5,5,42930,15074
63,556,1771431000,6,5,19042,34875
64,557,1771431000,5,4,19181,296
65,558,1771431000,4,4,5504,10598
66,559,1771431000,5,5,1000,1304
67,560,1771431000,171,165,72124,63200
68,561,1771431000,99,98,21812,20845
69,562,1771431000,83,80,98945,102876
70,563,1771431000,121,119,26055,14679
71,564,1771431000,97,95,10410,16487
72,565,1771431000,242,240,230984,46438
73,566,1771431000,392,388,17862,8734
74,567,1771431000,50,52,4338,708
75,571,1771431000,820,791,456,464
76,573,1771431000,1200,1191,3856,59
77,579,1771431000,460,379,4,1
78,592,1771431000,53,53,51,451
79,805,1771431000,196,190,12,47
80,808,1771431000,4,3,296,99
81,809,1771431000,13,9,6506,12583
82,810,1771431000,44,38,31546,11421
83,811,1771431000,197,198,300,332
84,816,1771431000,35,35,16,16
85,821,1771431000,89,82,6500,2700
86,822,1771431000,116,112,19500,999
87,829,1771431000,41,41,330,470
88,847,1771431000,191,165,4,92
89,851,1771431000,320,314,1,11
90,857,1771431000,407,398,2,1613
91,859,1771431000,1212,1200,5,8
92,861,1771431000,840,832,13,4
93,868,1771431000,213,214,25,4395
94,877,1771431000,2,2,8,177
95,882,1771431000,5,5,1153,7193
96,884,1771431000,8,8,16224,6379
97,886,1771431000,14,12,150,221
98,888,1771431000,14,14,4409,4321
99,890,1771431000,56,55,865,6667
100,892,1771431000,96,85,6848,25177
101,946,1771431000,198,188,1,1
102,950,1771431000,18,18,37,10
103,952,1771431000,149,106,2,362
104,960,1771431000,145,143,429,153
105,962,1771431000,104302,104712,2,2
106,985,1771431000,12000,11678,35,46
107,991,1771431000,12000,31000,2,19
108,1007,1771431000,94,91,4,1
109,1035,1771431000,1692,1615,1,2
110,1048,1771431000,16511,16000,4,2
111,1069,1771431000,478,443,3,1
112,1071,1771431000,1417,1354,7,46
113,1073,1771431000,3699,3984,11,22
114,1077,1771431000,1450,1203,1,4
115,1079,1771431000,38083,37880,61,180
116,1099,1771431000,2243,2240,1,4
117,1109,1771431000,1008,1064,21,38
118,1111,1771431000,2650,2853,8,21
119,1113,1771431000,29937,29696,13,67
120,1119,1771431000,1050,1012,104,657
121,1123,1771431000,9703,9672,701,3427
122,1125,1771431000,3836,3491,7,4
123,1127,1771431000,38730,38477,70,461
124,1131,1771431000,20,15,4,3
125,1135,1771431000,4469,4450,85,2
126,1139,1771431000,45,50,4,1
127,1147,1771431000,11276,11220,2,59
128,1149,1771431000,58855,58770,29,100
129,1159,1771431000,850,750,3,1
130,1161,1771431000,1968,1908,5,24
131,1163,1771431000,20835,20911,2,340
132,1165,1771431000,594,550,3,4
133,1167,1771431000,39,7,2,2
134,1169,1771431000,50,41,1,2
135,1185,1771431000,22776,22802,12,54
136,1193,1771431000,453,410,2,1
137,1195,1771431000,3000,1550,4,10
138,1197,1771431000,1120,1120,1,1
139,1201,1771431000,32311,32221,38,342
140,1205,1771431000,6,5,1,1
141,1211,1771431000,277,273,1,1
142,1213,1771431000,4580,4583,2,40
143,1215,1771431000,17310,17301,40,136
144,1247,1771431000,12117,12000,1,2
145,1267,1771431000,599,482,1,2
146,1269,1771431000,1088,1034,3,1
147,1271,1771431000,2731,1600,3,1
148,1273,1771431000,521,463,7,88
149,1275,1771431000,19290,19080,6,78
150,1301,1771431000,1660,1630,1,4
151,1303,1771431000,18992,18841,15,91
152,1305,1771431000,59198,59198,17,84
153,1317,1771431000,3695,3589,3,11
154,1319,1771431000,38171,38128,21,34
155,1331,1771431000,1600,1500,2,35
156,1333,1771431000,15141,15135,30,56
157,1339,1771431000,297,220,1,1
158,1347,1771431000,24497,24403,10,214
159,1351,1771431000,279,102,18,1
160,1353,1771431000,1800,600,35,2
161,1357,1771431000,2098,1111,13,44
162,1359,1771431000,7681,7324,29,22
163,1369,1771431000,1286,1140,125,36
164,1373,1771431000,24753,24500,7,50
165,1381,1771431000,1976,1868,6,3
166,1391,1771431000,8066,7994,3440,2302
167,1393,1771431000,8855,8836,1,21
168,1395,1771431000,8750,8725,500,792
169,1397,1771431000,8848,8780,3572,4889
170,1399,1771431000,8799,8714,1,707
171,1430,1771431000,672,664,5,2
172,1432,1771431000,8384,8200,85,96
173,1434,1771431000,29331,29100,3,33
174,1440,1771431000,706,651,10,456
175,1454,1771431000,318,263,2,8
176,1472,1771431000,2344,2207,1,3
177,1474,1771431000,2516,2401,1,2
178,1476,1771431000,2643,2568,1,3
179,1513,1771431000,997,975,13269,5005
180,1515,1771431000,132,130,7727,19561
181,1517,1771431000,17,16,207,1063
182,1539,1771431000,24,24,4016,2300
183,1540,1771431000,87,61,1,1
184,1550,1771431000,20,20,4,1
185,1601,1771431000,1753,1754,803,993
