,examine,id,members,lowalch,limit,value,highalch,icon,name
0,Fabulously ancient mage protection enchanted in the 3rd Age.,10344,True,20200.0,8.0,50500.0,30300.0,3rd age amulet.png,3rd age amulet
1,"A beautifully crafted axe, shaped by ancient smiths.",20011,True,22000.0,40.0,55000.0,33000.0,3rd age axe.png,3rd age axe
2,A beautifully crafted bow carved by ancient archers.,12424,True,60000.0,8.0,150000.0,90000.0,3rd age bow.png,3rd age bow
3,A beautiful cloak woven by ancient tailors.,12437,True,34000.0,8.0,85000.0,51000.0,3rd age cloak.png,3rd age cloak
4,A fabulously ancient vine cloak as worn by the druids of old.,23345,True,80000.0,8.0,200000.0,120000.0,3rd age druidic cloak.png,3rd age druidic cloak
5,A fabulously ancient woven robe as worn by the druids of old.,23339,True,80000.0,4.0,200000.0,120000.0,3rd age druidic robe bottoms.png,3rd age druidic robe bottoms
6,A fabulously ancient woven robe top as worn by the druids of old.,23336,True,80000.0,4.0,200000.0,120000.0,3rd age druidic robe top.png,3rd age druidic robe top
7,A fabulously ancient gnarled staff as used by the druids of old.,23342,True,80000.0,8.0,200000.0,120000.0,3rd age druidic staff.png,3rd age druidic staff
8,"A beautifully crafted axe, shaped by ancient smiths.",28226,True,22000.0,,55000.0,33000.0,3rd age felling axe.png,3rd age felling axe
9,Fabulously ancient armour beaten from magical silver.,10350,True,36000.0,8.0,90000.0,54000.0,3rd age full helmet.png,3rd age full helmet
10,Fabulously ancient armour beaten from magical silver.,10352,True,72000.0,8.0,180000.0,108000.0,3rd age kiteshield.png,3rd age kiteshield
11,A beautifully crafted sword forged by ancient blacksmiths.,12426,True,60000.0,8.0,150000.0,90000.0,3rd age longsword.png,3rd age longsword
12,Fabulously ancient mage protection enchanted in the 3rd Age.,10342,True,20160.0,8.0,50400.0,30240.0,3rd age mage hat.png,3rd age mage hat
13,"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,True,39180.0,40.0,97950.0,58770.0,3rd age pickaxe.png,3rd age pickaxe
14,Fabulously ancient armour beaten from magical silver.,10348,True,80000.0,8.0,200000.0,120000.0,3rd age platebody.png,3rd age platebody
15,Fabulously ancient armour beaten from magical silver.,10346,True,80000.0,8.0,200000.0,120000.0,3rd age platelegs.png,3rd age platelegs
16,Fabulously ancient armour beaten from magical silver.,23242,True,80000.0,8.0,200000.0,120000.0,3rd age plateskirt.png,3rd age plateskirt
17,Fabulously ancient range protection crafted from white dragonhide.,10334,True,20160.0,8.0,50400.0,30240.0,3rd age range coif.png,3rd age range coif
18,Fabulously ancient range protection crafted from white dragonhide.,10332,True,20240.0,8.0,50600.0,30360.0,3rd age range legs.png,3rd age range legs
19,Fabulously ancient range protection crafted from white dragonhide.,10330,True,20320.0,8.0,50800.0,30480.0,3rd age range top.png,3rd age range top
20,Fabulously ancient mage protection enchanted in the 3rd Age.,10340,True,20240.0,8.0,50600.0,30360.0,3rd age robe.png,3rd age robe
21,Fabulously ancient mage protection enchanted in the 3rd Age.,10338,True,20320.0,8.0,50800.0,30480.0,3rd age robe top.png,3rd age robe top
22,Fabulously ancient range protection crafted from white dragonhide.,10336,True,20200.0,8.0,50500.0,30300.0,3rd age vambraces.png,3rd age vambraces
23,A beautifully crafted wand infused by ancient wizards.,12422,True,60000.0,8.0,150000.0,90000.0,3rd age wand.png,3rd age wand
24,A big do about nothing.,10392,True,800.0,4.0,2000.0,1200.0,A powdered wig.png,A powdered wig
25,A heap of ashes.,25775,True,1.0,7500.0,1.0,1.0,Abyssal ashes.png,Abyssal ashes
26,Elements of deceased Abyssal Sires have been fused together.,13263,True,104000.0,8.0,260000.0,156000.0,Abyssal bludgeon.png,Abyssal bludgeon
27,Makes using the Abyss just slightly safer.,11095,True,1680.0,10000.0,4200.0,2520.0,Abyssal bracelet.png,Abyssal bracelet(5)
28,Something sharp from the body of a defeated Abyssal Sire.,13265,True,46000.0,8.0,115001.0,69000.0,Abyssal dagger.png,Abyssal dagger
29,Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,True,46000.0,8.0,115002.0,69001.0,Abyssal dagger (p).png,Abyssal dagger (p)
30,Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,True,46001.0,8.0,115003.0,69001.0,Abyssal dagger (p+).png,Abyssal dagger (p+)
31,Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,True,46001.0,8.0,115004.0,69002.0,Abyssal dagger (p++).png,Abyssal dagger (p++)
32,A weapon from the Abyss.,4151,True,48000.0,70.0,120001.0,72000.0,Abyssal whip.png,Abyssal whip
