item_id,timestamp,avg_high_price,avg_low_price,high_volume,low_volume
2,1770865200,272,265,979020,569523
6,1770865200,190706,186208,13,50
8,1770865200,187233,182614,10,30
10,1770865200,170250,167508,8,29
12,1770865200,208999,196094,9,43
30,1770865200,890,890,27,1
36,1770865200,400,379,125,5
39,1770865200,15,7,20665,190
40,1770865200,7,7,5070,16117
41,1770865200,24,24,2400,21145
42,1770865200,38,36,14821,12733
43,1770865200,143,132,14794,26667
44,1770865200,270,278,6508,8884
45,1770865200,25,25,724,2638
46,1770865200,10,10,12668,3144
48,1770865200,6,2,453,18
50,1770865200,17,17,295,92
52,1770865200,1,1,172108,600
53,1770865200,11,10,270220,13083
58,1770865200,69,66,2046,2457
60,1770865200,42,38,1050,860
62,1770865200,106,103,5111,8563
64,1770865200,96,93,10,2474
66,1770865200,270,263,36255,37625
68,1770865200,206,183,1,1794
70,1770865200,1047,1021,39653,37374
72,1770865200,724,759,3,416
93,1770865200,216,216,64,12
95,1770865200,210,186,1442,301
97,1770865200,648,629,10143,538
99,1770865200,5859,5875,71717,2858
101,1770865200,2781,2807,38101,20103
105,1770865200,3171,3148,40833,927
107,1770865200,3398,3401,13315,16752
109,1770865200,2707,2702,18947,11295
111,1770865200,3973,3997,2250,566
113,1770865200,83,81,2006,316
117,1770865200,32,34,2,3
133,1770865200,645,485,2,1
139,1770865200,6139,6129,774,8101
141,1770865200,4125,4114,10,128
143,1770865200,2131,2080,10,78
145,1770865200,2526,2532,1681,9423
157,1770865200,2932,2919,12,9400
163,1770865200,2857,2816,15,7854
169,1770865200,1838,1780,103,107
171,1770865200,1180,1177,22,160
173,1770865200,686,585,9,19
175,1770865200,148,135,2,126
177,1770865200,116,50,2,1
181,1770865200,1670,1555,567,3
185,1770865200,386,346,1,2
187,1770865200,379,341,3,1
199,1770865200,342,311,1081,5059
201,1770865200,171,175,582,4520
203,1770865200,164,163,1779,11770
205,1770865200,478,476,4256,19612
207,1770865200,5538,5519,7205,19233
209,1770865200,2527,2531,1320,12411
211,1770865200,2437,2416,117,16014
213,1770865200,2902,2873,479,22976
215,1770865200,3200,3093,280,14627
217,1770865200,2420,2402,221,15329
219,1770865200,3591,3559,2751,12126
221,1770865200,3,3,37835,31569
223,1770865200,197,194,26867,26374
225,1770865200,315,303,13263,23369
227,1770865200,5,5,45081,10195
229,1770865200,3,2,76368,201652
231,1770865200,495,491,55287,36901
233,1770865200,73,58,174,2
235,1770865200,299,262,1671,1
237,1770865200,220,217,83,900
239,1770865200,355,350,9154,17951
241,1770865200,76,74,260,3561
243,1770865200,17,17,11344,54
245,1770865200,980,941,2064,38106
247,1770865200,387,376,30,289
249,1770865200,344,343,3315,6786
251,1770865200,223,211,2607,3832
253,1770865200,207,199,8987,6068
255,1770865200,517,510,3905,2475
257,1770865200,5598,5593,7809,10271
259,1770865200,2639,2628,418,3059
261,1770865200,2537,2515,1357,8542
263,1770865200,2937,2913,22,6890
265,1770865200,3166,3198,164,4107
267,1770865200,2460,2437,11602,4369
269,1770865200,3699,3663,18352,3982
272,1770865200,900,1001,4,1
288,1770865200,860,475,260,48
299,1770865200,1225,1115,5040,435
301,1770865200,297,225,20,6
303,1770865200,138,120,107,11
305,1770865200,25,11,18,1
307,1770865200,17,17,37,8
309,1770865200,98,98,24,5
313,1770865200,5,5,123051,16818
314,1770865200,3,2,1148618,251338
315,1770865200,16,16,394,827
317,1770865200,31,31,849,614
319,1770865200,62,59,49,446
321,1770865200,29,29,335,1711
325,1770865200,43,31,38,2285
327,1770865200,41,40,1408,727
329,1770865200,61,59,2054,3107
331,1770865200,52,52,2992,5829
333,1770865200,39,36,8301,4009
335,1770865200,62,59,2035,3292
341,1770865200,33,33,77,20
345,1770865200,70,61,780,202
347,1770865200,66,61,1011,940
349,1770865200,142,138,1181,636
351,1770865200,190,180,3854,3301
353,1770865200,28,21,247,28
355,1770865200,33,32,93,400
359,1770865200,83,80,5114,7079
361,1770865200,92,91,14806,21300
363,1770865200,16,16,4125,12096
365,1770865200,104,74,1220,1013
371,1770865200,207,202,19171,16077
373,1770865200,206,203,38477,13268
377,1770865200,143,141,12979,20134
379,1770865200,147,144,32192,27271
383,1770865200,552,542,11095,58351
385,1770865200,820,803,105586,69601
389,1770865200,1514,1489,954,4240
391,1770865200,1807,1769,9993,7971
395,1770865200,695,688,2897,14164
397,1770865200,1087,1044,6315,1027
401,1770865200,4,5,2343,4278
403,1770865200,36,36,1,3
405,1770865200,1554,921,201,14
407,1770865200,45,45,81,440
411,1770865200,28,28,8,141
413,1770865200,626,575,63,466
426,1770865200,99,75,6,2
428,1770865200,258,174,2,3
434,1770865200,79,77,233,110
436,1770865200,14,14,299,2842
438,1770865200,15,15,159,618
440,1770865200,81,80,55446,58906
442,1770865200,49,48,46464,76113
444,1770865200,125,122,220843,238127
447,1770865200,125,124,58833,76821
449,1770865200,563,552,38996,106550
451,1770865200,10167,10103,17158,55617
453,1770865200,186,182,439890,644587
464,1770865200,400,300,35,281
526,1770865200,33,30,4303,7995
530,1770865200,399,393,28,8
532,1770865200,338,327,12662,8749
534,1770865200,625,667,698,2953
536,1770865200,2056,2047,62461,65921
542,1770865200,204,140,39,60
544,1770865200,520,507,105,236
548,1770865200,496,383,1,1
554,1770865200,5,4,2691641,274984
555,1770865200,5,5,1719607,279385
556,1770865200,5,6,2172375,1240938
557,1770865200,5,5,1183878,337414
558,1770865200,3,3,705418,61559
559,1770865200,5,5,88882,53272
560,1770865200,159,157,1123638,734758
561,1770865200,97,95,658181,249832
562,1770865200,76,76,955682,582476
563,1770865200,121,119,358649,167642
564,1770865200,97,95,388388,67364
565,1770865200,229,226,1244122,744286
566,1770865200,379,374,870774,528972
567,1770865200,59,53,12045,47819
569,1770865200,1083,1058,2829,13445
571,1770865200,756,746,12261,17346
573,1770865200,1109,1089,97939,25655
575,1770865200,862,845,12466,27535
577,1770865200,1516,1450,297,80
579,1770865200,481,489,63,64
581,1770865200,1041,1030,5,139
590,1770865200,77,73,55,33
592,1770865200,44,40,1536,2705
596,1770865200,91,100,10,1
638,1770865200,1031,500,7,1
753,1770865200,78,67,135,577
805,1770865200,207,203,943,580
806,1770865200,14,13,7406,4345
807,1770865200,12,12,17975,20695
808,1770865200,4,3,73783,27347
809,1770865200,11,10,223087,49719
